iter	Passed	Remaining
515	763	716
516	764	714
517	765	712
518	767	711
519	768	709
520	769	707
521	770	706
522	771	704
523	772	702
524	774	700
525	775	698
526	776	696
527	777	695
528	778	693
529	779	691
530	780	689
531	782	688
532	784	687
533	785	685
534	786	683
535	787	681
536	789	680
537	790	678
538	792	678
539	794	676
540	796	675
541	798	674
542	799	672
543	800	670
544	801	669
545	802	667
546	804	666
547	807	666
548	808	664
549	809	662
550	811	661
551	812	659
552	813	657
553	815	656
554	815	654
555	816	652
556	817	650
557	819	648
558	819	646
559	821	645
560	822	643
561	823	641
562	824	639
563	825	638
564	826	636
565	827	634
566	829	633
567	830	631
568	831	629
569	831	627
570	833	625
571	834	624
572	836	623
573	837	621
574	838	619
575	840	618
576	841	616
577	842	615
578	843	613
579	844	611
580	845	609
581	846	607
582	847	606
583	848	604
584	849	602
585	850	600
586	851	599
587	852	597
588	853	595
589	854	594
590	856	592
591	857	591
592	858	589
593	859	587
594	860	586
595	862	584
596	863	582
597	864	580
598	865	579
599	866	577
600	866	575
601	867	573
602	869	572
603	871	571
604	872	569
605	873	567
606	874	566
607	875	564
608	876	562
609	877	561
610	878	559
611	879	557
612	880	556
613	881	554
614	883	552
615	885	551
616	886	550
617	887	548
618	888	547
619	889	545
620	891	543
621	892	542
622	893	540
623	894	538
624	895	537
625	896	535
626	898	534
627	900	533
628	901	531
629	903	530
630	904	528
631	905	527
632	906	525
633	907	523
634	908	522
635	909	520
636	910	518
637	911	517
638	913	516
639	915	514
640	916	513
641	917	511
642	918	509
643	919	508
644	920	506
645	921	504
646	922	503
647	923	501
648	924	499
649	925	498
650	926	496
651	927	495
652	928	493
653	929	491
654	930	490
655	931	488
656	932	486
657	933	485
658	934	483
659	935	482
660	936	480
661	937	478
662	938	477
663	940	475
664	941	474
665	943	473
666	944	471
667	946	470
668	947	468
669	947	466
670	949	465
671	950	463
672	951	462
673	953	461
674	954	459
675	956	458
676	958	457
677	959	455
678	960	454
679	961	452
680	963	451
681	963	449
682	965	447
683	965	446
684	966	444
685	967	443
686	968	441
687	969	439
688	970	438
689	972	436
690	973	435
691	974	433
692	975	432
693	976	430
694	977	428
695	978	427
696	979	425
697	980	424
698	981	422
699	982	421
700	983	419
701	985	418
702	987	417
703	988	415
704	989	413
705	990	412
706	991	410
707	992	409
708	993	407
709	994	406
710	995	404
711	996	402
712	997	401
713	998	399
714	999	398
715	1000	396
716	1001	395
717	1002	393
718	1003	392
719	1004	390
720	1005	389
721	1006	387
722	1007	385
723	1008	384
724	1009	382
725	1010	381
726	1011	379
727	1012	378
728	1013	376
729	1014	375
730	1015	373
731	1016	372
732	1018	370
733	1018	369
734	1019	367
735	1020	366
736	1022	364
737	1023	363
738	1023	361
739	1024	360
740	1025	358
741	1026	356
742	1027	355
743	1028	353
744	1029	352
745	1030	350
746	1031	349
747	1031	347
748	1032	346
749	1033	344
750	1034	342
751	1035	341
752	1036	339
753	1037	338
754	1037	336
755	1038	335
756	1039	333
757	1040	332
758	1040	330
759	1041	328
760	1042	327
761	1043	325
762	1044	324
763	1045	322
764	1046	321
765	1047	319
766	1048	318
767	1048	316
768	1050	315
769	1051	314
770	1052	312
771	1053	311
772	1054	309
773	1055	308
774	1056	306
775	1057	305
776	1058	303
777	1060	302
778	1061	301
779	1062	299
780	1063	298
781	1064	296
782	1065	295
783	1066	293
784	1067	292
785	1069	291
786	1070	289
787	1071	288
788	1072	286
789	1074	285
790	1075	284
791	1076	282
792	1077	281
793	1078	279
794	1079	278
795	1080	276
796	1081	275
797	1082	274
798	1084	272
799	1086	271
800	1087	270
801	1088	268
802	1090	267
803	1091	266
804	1092	264
805	1093	263
806	1094	261
807	1095	260
808	1097	259
809	1098	257
810	1099	256
811	1100	254
812	1101	253
813	1103	252
814	1105	250
815	1106	249
816	1107	248
817	1108	246
818	1109	245
819	1110	243
820	1111	242
821	1113	241
822	1114	239
823	1117	238
824	1118	237
825	1120	236
826	1121	234
827	1122	233
828	1124	231
829	1125	230
830	1126	229
831	1127	227
832	1128	226
833	1168	232
834	1173	231
835	1178	231
836	1179	229
837	1182	228
838	1187	227
839	1189	226
840	1191	225
841	1192	223
842	1194	222
843	1195	220
844	1197	219
845	1205	219
846	1207	218
847	1208	216
848	1210	215
849	1213	214
850	1217	213
851	1219	211
852	1221	210
853	1225	209
854	1228	208
855	1231	207
856	1233	205
857	1236	204
858	1238	203
859	1239	201
860	1242	200
861	1244	199
862	1246	197
863	1248	196
864	1249	195
865	1251	193
866	1253	192
867	1254	190
868	1256	189
869	1258	188
870	1261	186
871	1262	185
872	1263	183
873	1265	182
874	1267	181
875	1268	179
876	1269	178
877	1272	176
878	1273	175
879	1275	173
880	1276	172
881	1277	170
882	1278	169
883	1280	167
884	1282	166
885	1283	165
886	1284	163
887	1285	162
888	1286	160
889	1287	159
890	1289	157
891	1290	156
892	1291	154
893	1292	153
894	1293	151
895	1294	150
896	1295	148
897	1296	147
898	1297	145
899	1299	144
900	1301	142
901	1302	141
902	1303	140
903	1304	138
904	1305	137
905	1306	135
906	1307	134
907	1308	132
908	1309	131
909	1310	129
910	1311	128
911	1312	126
912	1313	125
913	1313	123
914	1315	122
915	1316	120
916	1317	119
917	1318	117
918	1319	116
919	1321	114
920	1322	113
921	1322	111
922	1323	110
923	1324	108
924	1325	107
925	1326	105
926	1327	104
927	1328	103
928	1329	101
929	1330	100
930	1331	98
931	1332	97
932	1333	95
933	1334	94
934	1335	92
935	1336	91
936	1337	89
937	1338	88
938	1339	87
939	1340	85
940	1341	84
941	1342	82
942	1343	81
943	1345	79
944	1346	78
945	1347	76
946	1348	75
947	1349	73
948	1350	72
949	1351	71
950	1352	69
951	1352	68
952	1353	66
953	1354	65
954	1355	63
955	1356	62
956	1357	60
957	1358	59
958	1359	58
959	1360	56
960	1361	55
961	1362	53
962	1363	52
963	1364	50
964	1365	49
965	1366	48
966	1367	46
967	1368	45
968	1369	43
969	1370	42
970	1371	40
971	1372	39
972	1373	38
973	1374	36
974	1375	35
975	1376	33
976	1377	32
977	1378	31
978	1379	29
979	1380	28
980	1381	26
981	1382	25
982	1383	23
983	1384	22
984	1385	21
985	1386	19
986	1387	18
987	1388	16
988	1389	15
989	1390	14
990	1391	12
991	1392	11
992	1393	9
993	1393	8
994	1394	7
995	1395	5
996	1396	4
997	1397	2
998	1398	1
999	1399	0
