iter	Passed	Remaining
263	445	1243
264	447	1239
265	448	1236
266	448	1232
267	449	1228
268	450	1223
269	451	1219
270	451	1215
271	452	1210
272	453	1206
273	453	1202
274	454	1198
275	455	1194
276	455	1189
277	456	1185
278	457	1181
279	457	1177
280	458	1173
281	459	1169
282	464	1176
283	465	1173
284	466	1170
285	467	1166
286	468	1162
287	468	1158
288	469	1154
289	470	1151
290	470	1147
291	471	1143
292	472	1140
293	473	1136
294	473	1132
295	474	1128
296	475	1125
297	476	1122
298	477	1119
299	478	1115
300	478	1111
301	479	1108
302	480	1104
303	480	1100
304	481	1097
305	482	1093
306	482	1090
307	483	1086
308	484	1083
309	485	1079
310	485	1076
311	486	1072
312	487	1069
313	487	1065
314	488	1062
315	489	1058
316	489	1055
317	491	1053
318	491	1050
319	492	1047
320	493	1043
321	494	1040
322	494	1037
323	495	1033
324	496	1030
325	496	1027
326	497	1024
327	498	1021
328	499	1017
329	499	1014
330	500	1011
331	501	1008
332	501	1005
333	502	1002
334	503	999
335	503	995
336	504	992
337	506	991
338	507	988
339	507	985
340	508	982
341	509	979
342	510	976
343	510	973
344	511	970
345	512	967
346	512	964
347	513	961
348	514	959
349	514	956
350	515	953
351	516	950
352	517	947
353	517	945
354	518	942
355	519	939
356	520	937
357	521	934
358	522	932
359	523	929
360	523	927
361	524	924
362	525	921
363	525	918
364	526	915
365	527	913
366	527	910
367	528	907
368	529	905
369	530	902
370	530	899
371	531	897
372	532	894
373	532	891
374	533	889
375	534	886
376	535	884
377	536	882
378	537	879
379	537	877
380	538	874
381	539	872
382	539	869
383	540	866
384	541	864
385	541	861
386	542	859
387	543	856
388	543	854
389	544	851
390	545	849
391	545	846
392	546	844
393	547	841
394	547	839
395	548	836
396	549	834
397	550	832
398	551	830
399	552	828
400	552	825
401	553	823
402	554	820
403	554	818
404	555	816
405	556	813
406	556	811
407	557	809
408	558	806
409	559	804
410	559	802
411	560	799
412	561	797
413	561	795
414	562	792
415	563	790
416	563	788
417	564	786
418	565	784
419	566	782
420	567	780
421	568	778
422	568	775
423	569	773
424	570	771
425	570	769
426	571	767
427	572	764
428	572	762
429	573	760
430	574	758
431	574	755
432	575	753
433	576	751
434	577	749
435	577	747
436	578	745
437	579	743
438	580	741
439	581	739
440	582	737
441	582	735
442	583	733
443	584	731
444	584	729
445	585	727
446	586	725
447	586	723
448	587	721
449	588	719
450	589	717
451	589	715
452	590	712
453	591	710
454	591	708
455	592	706
456	593	704
457	594	702
458	595	701
459	595	699
460	596	697
461	597	695
462	598	693
463	598	691
464	599	689
465	600	687
466	601	685
467	601	684
468	602	682
469	603	680
470	603	678
471	604	676
472	605	674
473	605	672
474	606	670
